"attrib_name","TCGA.3H.AB3K","TCGA.3H.AB3L","TCGA.3H.AB3M","TCGA.3H.AB3O","TCGA.3H.AB3S","TCGA.3H.AB3T","TCGA.3H.AB3U","TCGA.3H.AB3X","TCGA.3U.A98D","TCGA.3U.A98E","TCGA.3U.A98F","TCGA.3U.A98G","TCGA.3U.A98H","TCGA.3U.A98I","TCGA.3U.A98J","TCGA.LK.A4NW","TCGA.LK.A4NY","TCGA.LK.A4NZ","TCGA.LK.A4O0","TCGA.LK.A4O2","TCGA.LK.A4O4","TCGA.LK.A4O5","TCGA.LK.A4O6","TCGA.LK.A4O7","TCGA.MQ.A4KX","TCGA.MQ.A4LC","TCGA.MQ.A4LI","TCGA.MQ.A4LJ","TCGA.MQ.A4LM","TCGA.MQ.A4LP","TCGA.MQ.A4LV","TCGA.MQ.A6BL","TCGA.MQ.A6BN","TCGA.MQ.A6BQ","TCGA.MQ.A6BR","TCGA.MQ.A6BS","TCGA.NQ.A57I","TCGA.NQ.A638","TCGA.SC.A6LM","TCGA.SC.A6LN","TCGA.SC.A6LP","TCGA.SC.A6LQ","TCGA.SC.A6LR","TCGA.SC.AA5Z","TCGA.SH.A7BC","TCGA.SH.A7BD","TCGA.SH.A7BH","TCGA.SH.A9CT","TCGA.SH.A9CU","TCGA.TS.A7OU","TCGA.TS.A7OY","TCGA.TS.A7OZ","TCGA.TS.A7P0","TCGA.TS.A7P1","TCGA.TS.A7P3","TCGA.TS.A7P6","TCGA.TS.A7P7","TCGA.TS.A7P8","TCGA.TS.A7PB","TCGA.TS.A8AF","TCGA.TS.A8AI","TCGA.TS.A8AS","TCGA.TS.A8AV","TCGA.TS.A8AY","TCGA.UD.AABY","TCGA.UD.AABZ","TCGA.UD.AAC1","TCGA.UD.AAC4","TCGA.UD.AAC5","TCGA.UD.AAC6","TCGA.UD.AAC7","TCGA.UT.A88C","TCGA.UT.A88D","TCGA.UT.A88E","TCGA.UT.A88G","TCGA.UT.A97Y","TCGA.XT.AASU","TCGA.YS.A95B","TCGA.YS.A95C","TCGA.YS.AA4M","TCGA.ZN.A9VO","TCGA.ZN.A9VP","TCGA.ZN.A9VQ","TCGA.ZN.A9VS","TCGA.ZN.A9VU","TCGA.ZN.A9VV","TCGA.ZN.A9VW"
"A1BG",6.2508,5.0232,8.0151,6.5719,5.277,5.5899,3.9926,6.8268,7.5134,4.1398,3.4793,7.9146,6.0908,7.0785,8.4372,5.8638,8.5979,3.7682,8.6634,6.0747,7.0064,6.0819,8.1917,5.7297,4.201,4.0966,8.4296,7.4255,7.9972,9.2153,5.6174,6.7668,6.3485,4.4099,8.7572,4.1139,5.8471,7.1353,5.7886,9.6096,9.6265,4.8799,5.7823,5.84,6.6533,5.7014,9.8797,6.5748,9.0771,5.6609,7.2524,6.1881,9.0574,4.5212,6.4853,7.9639,6.5765,7.885,5.4519,5.5879,5.5231,4.6813,6.8518,7.5896,6.7246,5.8897,8.511,4.4599,5.2752,6.7941,5.0763,4.0443,6.1513,3.3319,7.8016,8.1758,4.9131,5.6239,4.669,5.5965,5.1675,8.7446,5.3958,4.935,3.8055,4.6924,5.1109
"ABCA6",6.1273,4.3067,8.7316,7.494,6.9306,4.3208,9.0182,9.515,8.8168,4.9052,10.8228,7.0254,7.8762,9.8288,9.0052,7.8229,8.6746,7.6902,4.2386,5.0666,7.569,6.066,7.2442,8.5895,7.6797,6.1906,9.2932,8.0443,5.7971,6.7416,5.0383,6.7784,4.4011,5.6597,9.305,7.5184,4.9401,11.7669,5.2402,6.1859,6.7104,6.4359,9.785,7.3689,7.9575,4.1043,3.2717,8.1483,10.0387,5.4235,8.7357,7.6838,9.6701,4.0374,9.0181,8.5907,6.5648,9.1907,7.2731,6.7385,5.2154,7.8291,8.2015,8.7707,7.6409,3.3886,7.9984,6.6602,6.9512,8.2673,8.5132,9.6934,8.7325,6.5092,3.9666,6.5175,7.7897,6.0104,9.991,7.1656,6.1834,6.1541,8.7313,4.9555,6.9402,4.1595,7.5245
"ABCA8",7.8241,4.2752,8.9132,6.0183,7.5655,1.9177,8.8684,11.5416,10.0969,8.2457,8.7591,6.4658,6.2531,10.0853,11.3309,9.1336,10.0445,8.6835,5.6996,5.6478,9.4847,9.5654,8.056,10.3183,9.4919,9.8858,9.8456,11.5179,5.5666,7.981,7.0649,4.6221,7.4299,9.5997,7.0787,8.4387,6.4808,11.6053,7.4171,9.5781,5.9006,7.0721,12.151,7.6723,8.6172,5.7538,9.2039,10.1462,9.9905,7.5738,8.346,8.2143,10.9587,5.2087,8.9749,9.0649,9.3163,8.7818,8.2426,8.864,3.2068,10.1721,6.2204,11.0655,7.5216,7.5912,8.8962,10.1212,9.5785,6.8147,8.387,9.4522,10.7353,9.7786,7.8614,5.5505,9.7336,9.9065,10.912,8.1928,5.612,7.6472,11.8032,8.8851,6.7689,8.5978,9.6621
"ABCA9",4.8298,4.1764,6.3409,7.0017,7.1729,2.9901,7.6231,5.9717,4.7897,5.0756,9.608,4.6342,7.1858,5.7638,6.683,6.1992,6.2603,7.2626,2.9721,3.9798,6.5344,5.2572,6.1299,7.2891,8.4335,5.969,4.8354,5.2807,4.6566,6.0007,4.2813,4.5328,3.8955,5.3084,8.4898,7.4488,4.1221,7.1525,8.1797,4.7539,5.6193,6.0308,7.2082,6.0538,6.0599,2.7241,4.5553,5.8961,9.2361,4.4372,6.4684,7.7195,6.161,3.9958,7.8051,4.8461,4.5455,8.3321,6.4762,5.7409,4.4903,8.3844,7.1808,6.9219,6.5458,4.0694,5.289,5.7321,5.1295,7.0332,5.0944,9.4221,7.6537,5.6558,3.502,5.4433,6.4262,3.4281,7.3261,7.3048,4.2694,6.1899,8.9916,3.8272,6.9536,7.4671,5.1844
"ABCB1",8.815,6.954,7.5159,8.4096,4.4148,5.4614,6.1281,8.5846,7.6758,4.489,4.5152,6.8286,6.9784,5.3259,6.7734,7.2705,7.3315,9.964,5.2294,3.8747,6.0277,5.4091,7.8605,7.8133,7.1272,8.7565,6.6849,7.059,4.1228,6.1729,5.6928,7.1423,6.852,7.5597,9.7126,4.8253,5.5935,5.2929,6.1785,9.1458,5.0334,6.7678,10.1032,8.6722,7.1046,6.04,8.7174,10.6333,5.4274,10.8785,7.2272,6.3997,8.5474,4.2649,7.0894,6.6128,6.365,8.6125,6.9348,6.7822,8.3832,10.7905,8.0066,10.0516,6.8199,7.3681,4.0102,6.7855,6.0637,4.8951,4.774,7.6626,7.3821,4.2947,6.3176,7.006,7.0344,9.4602,8.7209,7.8199,8.0757,5.4863,4.8144,6.7719,12.7082,6.9718,7.2669
"ABCC9",5.469,4.7112,5.5335,7.2619,7.0049,5.6856,6.1843,7.1793,6.0858,4.0953,10.0327,9.6171,7.2436,8.5065,5.7999,7.9425,7.4466,7.1613,5.3951,6.1686,8.8746,5.2817,8.0041,7.0166,6.9876,5.8347,6.2648,9.6571,6.6251,7.1772,4.4007,5.2447,3.8266,6.3186,6.6966,6.1894,8.2229,4.114,4.3176,6.5039,5.2694,6.1973,5.0107,10.457,7.3602,2.5812,4.6074,10.5433,6.399,4.9865,7.7865,8.1206,7.2783,5.5192,9.8267,7.3987,6.4109,8.7948,5.3848,6.8088,7.9331,7.4471,8.337,6.3881,8.7707,3.9269,5.0766,5.5385,6.9072,5.7214,5.415,7.3747,8.0293,4.0518,7.2197,8.6452,8.2549,7.2897,6.2963,7.3158,5.4034,6.8956,7.8927,6.3572,5.4517,4.6028,6.2924
"ABI3BP",7.3824,8.4786,9.4261,13.9285,8.7362,10.4657,9.23,9.1527,12.3671,8.5253,8.7074,11.8441,10.9866,9.5203,9.8918,9.0646,9.8674,8.5746,12.6846,10.1581,10.7001,10.9221,11.0614,10.0424,9.0735,6.764,11.8141,11.8179,10.585,9.6505,9.3953,9.2464,7.113,7.4254,9.3358,7.7418,9.0512,9.559,7.0439,7.855,11.4313,7.8834,10.9129,10.8227,11.9265,5.8189,5.9246,9.6912,9.865,4.8454,9.8108,10.7217,12.2378,8.8304,10.8952,9.9406,13.0587,9.5885,7.1722,8.244,8.5809,9.6595,10.6932,12.0684,11.6532,5.9856,9.8207,6.672,7.9329,7.6847,10.9368,9.262,10.8172,11.7952,12.4398,8.9976,9.3589,11.0466,7.7955,12.0179,9.1714,7.2747,11.5674,6.6333,7.006,8.7696,9.9546
"ABLIM2",10.5352,8.3878,9.6427,7.5249,9.4484,8.7978,10.1404,8.5319,7.539,9.45,5.7046,6.8649,11.0425,6.7142,8.9285,9.2842,8.9575,10.9332,8.8765,10.2651,7.363,10.329,9.0013,9.3905,9.9497,10.2541,9.6781,10.3144,6.1455,7.5189,8.5343,8.5642,10.7501,10.5534,8.6069,8.5537,4.3326,7.8958,6.5557,7.0633,5.5062,9.0716,8.8212,9.8454,8.4326,11.639,3.3956,10.3919,9.7218,10.8066,8.4313,9.1577,7.7416,10.6776,8.1352,9.4844,6.4984,7.7539,10.0744,8.9016,8.7098,10.5362,6.7819,8.7693,8.3573,8.7417,11.3888,9.7186,7.5911,7.8805,8.9699,9.6641,8.8104,7.9831,8.056,7.7684,7.1155,9.3844,9.6386,7.6678,10.3652,9.1431,8.323,10.162,9.9847,7.9189,7.8432
"ACAN",3.3429,4.3972,2.963,5.8579,5.7431,7.1891,2.4219,2.6382,7.8217,1.0516,6.3407,11.9026,5.7995,8.6507,3.116,9.0538,6.557,4.5349,6.2248,6.9885,3.2073,3.1966,8.1225,3.1292,3.3897,1.9894,4.9122,5.4162,6.7237,8.9238,6.4965,5.4041,3.5976,2.8565,5.7391,3.4056,8.722,4.0461,4.7822,7.2673,6.7534,7.8438,4.4885,7.8679,6.798,3.9383,9.1099,6.5803,4.8814,2.9058,6.293,8.0336,4.073,4.4613,10.0488,5.0655,5.5475,6.4842,2.3157,6.4446,8.0311,3.2332,9.4913,3.7548,7.5463,6.3768,5.1805,5.4449,5.478,5.2185,3.6898,3.3754,6.0331,1.8722,7.5986,8.9928,7.6039,7.7231,3.256,6.6373,4.1257,4.4607,6.4777,5.4517,2.2685,6.4817,5.5288
"ACHE",4.1758,5.4212,5.3318,7.7987,4.3105,7.732,3.447,7.0714,5.6893,3.9017,7.9461,4.9696,4.6955,3.8413,5.4578,3.6508,5.6258,4.6171,8.0805,8.8264,8.6386,6.2994,6.3949,6.0938,5.0872,3.0099,6.6849,4.3018,7.0707,7.2872,8.9274,7.857,4.6997,4.4892,6.3432,3.5306,6.1084,5.1055,5.1106,6.7453,4.5701,4.0871,2.8199,4.5217,8.1316,5.3532,6.1698,6.8094,6.9821,2.3597,6.1598,7.5976,7.5839,6.1611,3.9709,6.2815,5.4098,6.8441,4.693,8.1198,5.3607,4.2698,8.7168,4.8588,4.9344,6.6392,8.2384,2.7743,3.0771,3.9428,6.0079,4.586,7.1736,3.949,7.0567,3.4684,7.7949,4.8285,3.5846,6.739,9.0983,6.6985,6.7404,3.6292,3.2901,5.4456,5.4956
